id,AssessTot,LotFront,NumFloors,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,YearBuilt,CommFAR,PopDensity,MedIncome,NumofHouses,EduRate,UnemployedRate,IfAlter,Central Harlem,Chelsea & Clinton,East Harlem,Gramercy Park and Murray Hill,GV & Soho,L Manhattan,L. East Side,U Eest Side,U West Side,WAHI,LandUse_1,LandUse_2,LandUse_3,LandUse_4,LandUse_5,LandUse_6,LandUse_7,LandUse_8,LandUse_9,LandUse_10,OwnerType_C,OwnerType_M,OwnerType_O,OwnerType_P,OwnerType_X,Zone,LandUse
107,54026552,198,33,70281,337470,47547,4530,18204,0,0,0,2006,0,56092,145432,5247,0.988,0.047,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,L Manhattan,4
108,32528251,247.41,15,24074,205992,0,6916,17158,0,0,0,1985,0,56092,145432,5247,0.988,0.047,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,L Manhattan,4
109,36118350,196,22,33932,199078,0,0,15400,0,0,18532,2008,0,53144,250001,2885,0.993,0.005,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,L Manhattan,4
110,75425400,260,32,79700,297625,0,14536,0,0,0,65164,2008,0,53144,250001,2885,0.993,0.005,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,L Manhattan,4
111,39055053,196.58,27,1418,287833,0,0,0,1418,0,0,2000,0,53144,250001,2885,0.993,0.005,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,L Manhattan,3
114,36541800,156,27,1000,324514,0,1000,0,0,0,0,1969,15,32728,123691,2155,0.994,0.027,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,L Manhattan,3
115,13592700,389.14,8,112000,0,0,0,0,0,0,112000,1967,15,32728,123691,2155,0.994,0.027,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,L Manhattan,7
118,43639650,1020.32,7,193026,0,0,0,2127,0,0,190899,1949,15,5516,119691,2082,0.99,0.061,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,L Manhattan,7
124,1811250,39.42,5,20500,0,16500,4000,0,0,0,0,1900,15,32728,123691,2155,0.994,0.027,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,L Manhattan,5
127,19327950,72.08,30,316150,0,316150,0,0,0,0,0,1931,15,32728,123691,2155,0.994,0.027,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,L Manhattan,5
128,34937100,88.75,36,447452,0,429554,17898,0,0,0,0,1928,15,32728,123691,2155,0.994,0.027,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,L Manhattan,5
